material,material_category,old_material_number,procurement_group,container_reqmts,heel_type,upper_material,lining_material,in_sole_material,assortment_group,material_description,material_group,x_plant_matl_status,description,ext_material_group,brand,characteristic_value,color_number,color_name,characteristic_value,characteristic_value,item_type,text_lab_engineering_office,condition_amount
118-15335-008,2,15335,40K,US,,,,,,"118-15335, 11, BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,11,1,17,PLASTIC-BRANDED,2495
118-15335-009,2,15335,40K,US,,,,,,"118-15335, 12, BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,12,1,17,PLASTIC-BRANDED,2495
118-15335-010,2,15335,40K,US,,,,,,"118-15335, 13, BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,13,1,17,PLASTIC-BRANDED,2495
118-15335-011,2,15335,42K,US,,,,,,"118-15335, 4, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,4,1,17,PLASTIC-BRANDED,2495
118-15335-012,2,15335,42K,US,,,,,,"118-15335, 5, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,5,1,17,PLASTIC-BRANDED,2495
118-15335-013,2,15335,42K,US,,,,,,"118-15335, 6, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,6,1,17,PLASTIC-BRANDED,2495
118-15335-014,2,15335,42K,US,,,,,,"118-15335, 7, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,7,1,17,PLASTIC-BRANDED,2495
118-15335-015,2,15335,42K,US,,,,,,"118-15335, 8, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,8,1,17,PLASTIC-BRANDED,2495
118-15335-016,2,15335,42K,US,,,,,,"118-15335, 9, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,9,1,17,PLASTIC-BRANDED,2495
118-15335-017,2,15335,42K,US,,,,,,"118-15335, 10, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,10,1,17,PLASTIC-BRANDED,2495
118-15335-018,2,15335,42K,US,,,,,,"118-15335, 11, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,11,1,17,PLASTIC-BRANDED,2495
118-15335-019,2,15335,42K,US,,,,,,"118-15335, 12, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,12,1,17,PLASTIC-BRANDED,2495
118-15335-020,2,15335,42K,US,,,,,,"118-15335, 13, LIGHT BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,13,1,17,PLASTIC-BRANDED,2495
118-15335-021,2,15335,46K,US,,,,,,"118-15335, 4, BLUE, 2",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,4,2,17,PLASTIC-BRANDED,2495
118-15335-022,2,15335,46K,US,,,,,,"118-15335, 5, BLUE, 2",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,5,2,17,PLASTIC-BRANDED,2495
118-15335-023,2,15335,46K,US,,,,,,"118-15335, 6, BLUE, 2",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,6,2,17,PLASTIC-BRANDED,2495
118-15335-024,2,15335,46K,US,,,,,,"118-15335, 7, BLUE, 2",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,7,2,17,PLASTIC-BRANDED,2495
118-15335-025,2,15335,46K,US,,,,,,"118-15335, 8, BLUE, 2",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,8,2,17,PLASTIC-BRANDED,2495
118-15335-026,2,15335,46K,US,,,,,,"118-15335, 9, BLUE, 2",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,9,2,17,PLASTIC-BRANDED,2495
118-15335-027,2,15335,46K,US,,,,,,"118-15335, 10, BLUE, 2",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,10,2,17,PLASTIC-BRANDED,2495
118-15335-028,2,15335,46K,US,,,,,,"118-15335, 11, BLUE, 2",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,11,2,17,PLASTIC-BRANDED,2495
118-15335-029,2,15335,646,US,,,,,,"118-15335, 4, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,4,1,17,PLASTIC-BRANDED,2495
118-15335-030,2,15335,646,US,,,,,,"118-15335, 5, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,5,1,17,PLASTIC-BRANDED,2495
118-15335-031,2,15335,646,US,,,,,,"118-15335, 6, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,6,1,17,PLASTIC-BRANDED,2495
118-15335-032,2,15335,646,US,,,,,,"118-15335, 7, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,7,1,17,PLASTIC-BRANDED,2495
118-15335-033,2,15335,646,US,,,,,,"118-15335, 8, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,8,1,17,PLASTIC-BRANDED,2495
118-15335-034,2,15335,646,US,,,,,,"118-15335, 9, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,9,1,17,PLASTIC-BRANDED,2495
118-15335-035,2,15335,646,US,,,,,,"118-15335, 10, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,10,1,17,PLASTIC-BRANDED,2495
118-15335-036,2,15335,646,US,,,,,,"118-15335, 11, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,11,1,17,PLASTIC-BRANDED,2495
118-15335-037,2,15335,23I,US,,,,,,"118-15335, 4, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,4,1,17,PLASTIC-BRANDED,2495
118-15335-038,2,15335,23I,US,,,,,,"118-15335, 5, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,5,1,17,PLASTIC-BRANDED,2495
118-15335-039,2,15335,23I,US,,,,,,"118-15335, 6, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,6,1,17,PLASTIC-BRANDED,2495
118-15335-040,2,15335,23I,US,,,,,,"118-15335, 7, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,7,1,17,PLASTIC-BRANDED,2495
118-15335-041,2,15335,23I,US,,,,,,"118-15335, 8, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,8,1,17,PLASTIC-BRANDED,2495
118-15335-042,2,15335,23I,US,,,,,,"118-15335, 9, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,9,1,17,PLASTIC-BRANDED,2495
118-15335-043,2,15335,23I,US,,,,,,"118-15335, 10, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,10,1,17,PLASTIC-BRANDED,2495
118-15335-044,2,15335,23I,US,,,,,,"118-15335, 11, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,11,1,17,PLASTIC-BRANDED,2495
118-15335-045,2,15335,23I,US,,,,,,"118-15335, 12, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,12,1,17,PLASTIC-BRANDED,2495
118-15335-046,2,15335,23I,US,,,,,,"118-15335, 13, BRONZE, 1",M70001957,5,NOT ASSIGNED,118,CRC,XXB,46,BRONZE,13,1,17,PLASTIC-BRANDED,2495
118-15335-047,2,15335,0AK,US,,,,,,"118-15335, 4, LIGHT GREY, 1",M70001957,5,NOT ASSIGNED,118,CRC,LR,59,LIGHT GREY,4,1,17,PLASTIC-BRANDED,2495
118-15335-048,2,15335,0AK,US,,,,,,"118-15335, 5, LIGHT GREY, 1",M70001957,5,NOT ASSIGNED,118,CRC,LR,59,LIGHT GREY,5,1,17,PLASTIC-BRANDED,2495
118-15335-049,2,15335,0AK,US,,,,,,"118-15335, 6, LIGHT GREY, 1",M70001957,5,NOT ASSIGNED,118,CRC,LR,59,LIGHT GREY,6,1,17,PLASTIC-BRANDED,2495
118-15335-050,2,15335,0AK,US,,,,,,"118-15335, 7, LIGHT GREY, 1",M70001957,5,NOT ASSIGNED,118,CRC,LR,59,LIGHT GREY,7,1,17,PLASTIC-BRANDED,2495
118-15335-051,2,15335,0AK,US,,,,,,"118-15335, 8, LIGHT GREY, 1",M70001957,5,NOT ASSIGNED,118,CRC,LR,59,LIGHT GREY,8,1,17,PLASTIC-BRANDED,2495
118-15335-052,2,15335,0AK,US,,,,,,"118-15335, 9, LIGHT GREY, 1",M70001957,5,NOT ASSIGNED,118,CRC,LR,59,LIGHT GREY,9,1,17,PLASTIC-BRANDED,2495
118-15335-053,2,15335,0AK,US,,,,,,"118-15335, 10, LIGHT GREY, 1",M70001957,5,NOT ASSIGNED,118,CRC,LR,59,LIGHT GREY,10,1,17,PLASTIC-BRANDED,2495
118-15335-054,2,15335,0AK,US,,,,,,"118-15335, 11, LIGHT GREY, 1",M70001957,5,NOT ASSIGNED,118,CRC,LR,59,LIGHT GREY,11,1,17,PLASTIC-BRANDED,2495
118-15335-055,2,15335,49Y,US,,,,,,"118-15335, 4, BLUE, 3",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,4,3,17,PLASTIC-BRANDED,2495
118-15335-056,2,15335,49Y,US,,,,,,"118-15335, 5, BLUE, 3",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,5,3,17,PLASTIC-BRANDED,2495
118-15335-057,2,15335,49Y,US,,,,,,"118-15335, 6, BLUE, 3",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,6,3,17,PLASTIC-BRANDED,2495
118-15335-058,2,15335,49Y,US,,,,,,"118-15335, 7, BLUE, 3",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,7,3,17,PLASTIC-BRANDED,2495
118-15335-059,2,15335,49Y,US,,,,,,"118-15335, 8, BLUE, 3",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,8,3,17,PLASTIC-BRANDED,2495
118-15335-060,2,15335,49Y,US,,,,,,"118-15335, 9, BLUE, 3",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,9,3,17,PLASTIC-BRANDED,2495
118-15335-061,2,15335,49Y,US,,,,,,"118-15335, 10, BLUE, 3",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,10,3,17,PLASTIC-BRANDED,2495
118-15335-062,2,15335,49Y,US,,,,,,"118-15335, 11, BLUE, 3",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,11,3,17,PLASTIC-BRANDED,2495
118-15335-063,2,15335,63,US,,,,,,"118-15335, 12, BLUE, 2",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,12,2,17,PLASTIC-BRANDED,2495
118-15335-064,2,15335,126,US,,,,,,"118-15335, 4, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,4,1,17,PLASTIC-BRANDED,2495
118-15335-065,2,15335,126,US,,,,,,"118-15335, 5, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,5,1,17,PLASTIC-BRANDED,2495
118-15335-066,2,15335,126,US,,,,,,"118-15335, 6, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,6,1,17,PLASTIC-BRANDED,2495
118-15335-067,2,15335,126,US,,,,,,"118-15335, 7, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,7,1,17,PLASTIC-BRANDED,2495
118-15335-068,2,15335,126,US,,,,,,"118-15335, 8, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,8,1,17,PLASTIC-BRANDED,2495
118-15335-069,2,15335,126,US,,,,,,"118-15335, 9, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,9,1,17,PLASTIC-BRANDED,2495
118-15335-070,2,15335,126,US,,,,,,"118-15335, 10, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,10,1,17,PLASTIC-BRANDED,2495
118-15335-071,2,15335,126,US,,,,,,"118-15335, 11, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,11,1,17,PLASTIC-BRANDED,2495
118-15335-072,2,15335,126,US,,,,,,"118-15335, 12, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,12,1,17,PLASTIC-BRANDED,2495
118-15335-073,2,15335,126,US,,,,,,"118-15335, 13, WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,A,16,WHITE,13,1,17,PLASTIC-BRANDED,2495
118-15335-074,2,15335,66,US,,,,,,"118-15335, 10, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,10,1,17,PLASTIC-BRANDED,2495
118-15335-075,2,15335,66,US,,,,,,"118-15335, 11, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,11,1,17,PLASTIC-BRANDED,2495
118-15335-076,2,15335,66,US,,,,,,"118-15335, 12, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,12,1,17,PLASTIC-BRANDED,2495
118-15335-077,2,15335,66,US,,,,,,"118-15335, 13, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,13,1,17,PLASTIC-BRANDED,2495
118-15335-078,2,15335,66,US,,,,,,"118-15335, 4, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,4,1,17,PLASTIC-BRANDED,2495
118-15335-079,2,15335,66,US,,,,,,"118-15335, 5, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,5,1,17,PLASTIC-BRANDED,2495
118-15335-080,2,15335,66,US,,,,,,"118-15335, 6, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,6,1,17,PLASTIC-BRANDED,2495
118-15335-081,2,15335,66,US,,,,,,"118-15335, 7, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,7,1,17,PLASTIC-BRANDED,2495
118-15335-082,2,15335,66,US,,,,,,"118-15335, 8, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,8,1,17,PLASTIC-BRANDED,2495
118-15335-083,2,15335,66,US,,,,,,"118-15335, 9, BLACK, 1",M70001957,5,NOT ASSIGNED,118,CRC,C,11,BLACK,9,1,17,PLASTIC-BRANDED,2495
118-15335-084,2,15335,300,US,,,,,,"118-15335, 7, GREEN, 1",M70001957,5,NOT ASSIGNED,118,CRC,H,21,GREEN,7,1,17,PLASTIC-BRANDED,2495
118-15335-085,2,15335,300,US,,,,,,"118-15335, 8, GREEN, 1",M70001957,5,NOT ASSIGNED,118,CRC,H,21,GREEN,8,1,17,PLASTIC-BRANDED,2495
118-15335-086,2,15335,300,US,,,,,,"118-15335, 9, GREEN, 1",M70001957,5,NOT ASSIGNED,118,CRC,H,21,GREEN,9,1,17,PLASTIC-BRANDED,2495
118-15375,1,15375,,LT,NULL,NA,NA,,,118-15375,M70001931,,,223,CRC,,0,,,,1,LEATHER-F/W,0
118-15375-001,2,15375,03B,LT,,,,,,"118-15375, 5, LIGHT GREY, 1",M70001931,5,NOT ASSIGNED,223,CRC,LR,59,LIGHT GREY,5,1,1,LEATHER-F/W,2995
118-15375-002,2,15375,03B,LT,,,,,,"118-15375, 6, LIGHT GREY, 1",M70001931,5,NOT ASSIGNED,223,CRC,LR,59,LIGHT GREY,6,1,1,LEATHER-F/W,2995
118-15375-003,2,15375,03B,LT,,,,,,"118-15375, 7, LIGHT GREY, 1",M70001931,5,NOT ASSIGNED,223,CRC,LR,59,LIGHT GREY,7,1,1,LEATHER-F/W,2995
118-15375-004,2,15375,03B,LT,,,,,,"118-15375, 8, LIGHT GREY, 1",M70001931,5,NOT ASSIGNED,223,CRC,LR,59,LIGHT GREY,8,1,1,LEATHER-F/W,2995
118-15375-005,2,15375,03B,LT,,,,,,"118-15375, 9, LIGHT GREY, 1",M70001931,5,NOT ASSIGNED,223,CRC,LR,59,LIGHT GREY,9,1,1,LEATHER-F/W,2995
118-15375-006,2,15375,55T,LT,,,,,,"118-15375, 5, PINK, 1",M70001931,5,NOT ASSIGNED,223,CRC,P,24,PINK,5,1,1,LEATHER-F/W,2995
118-15375-007,2,15375,55T,LT,,,,,,"118-15375, 6, PINK, 1",M70001931,5,NOT ASSIGNED,223,CRC,P,24,PINK,6,1,1,LEATHER-F/W,2995
118-15375-008,2,15375,55T,LT,,,,,,"118-15375, 7, PINK, 1",M70001931,5,NOT ASSIGNED,223,CRC,P,24,PINK,7,1,1,LEATHER-F/W,2995
118-15375-009,2,15375,55T,LT,,,,,,"118-15375, 8, PINK, 1",M70001931,5,NOT ASSIGNED,223,CRC,P,24,PINK,8,1,1,LEATHER-F/W,2995
118-15375-010,2,15375,55T,LT,,,,,,"118-15375, 9, PINK, 1",M70001931,5,NOT ASSIGNED,223,CRC,P,24,PINK,9,1,1,LEATHER-F/W,2995
118-15375-011,2,15375,49C,LT,,,,,,"118-15375, 5, BLUE, 1",M70001931,5,NOT ASSIGNED,223,CRC,D,45,BLUE,5,1,1,LEATHER-F/W,2995
118-15375-012,2,15375,49C,LT,,,,,,"118-15375, 6, BLUE, 1",M70001931,5,NOT ASSIGNED,223,CRC,D,45,BLUE,6,1,1,LEATHER-F/W,2995
118-15375-013,2,15375,49C,LT,,,,,,"118-15375, 7, BLUE, 1",M70001931,5,NOT ASSIGNED,223,CRC,D,45,BLUE,7,1,1,LEATHER-F/W,2995
118-15375-014,2,15375,49C,LT,,,,,,"118-15375, 8, BLUE, 1",M70001931,5,NOT ASSIGNED,223,CRC,D,45,BLUE,8,1,1,LEATHER-F/W,2995
118-15375-015,2,15375,49C,LT,,,,,,"118-15375, 9, BLUE, 1",M70001931,5,NOT ASSIGNED,223,CRC,D,45,BLUE,9,1,1,LEATHER-F/W,2995
118-15501,1,15501,,LT,NULL,NA,NA,,,118-15501,M70001942,,,223,CRC,,0,,,,1,LEATHER-F/W,0
118-15501-001,2,15501,02L,LT,,,,,,"118-15501, 5, BEIGE/BLCK, 1",M70001942,5,NOT ASSIGNED,223,CRC,FC,92,BEIGE/BLCK,5,1,1,LEATHER-F/W,3995
118-15501-002,2,15501,02L,LT,,,,,,"118-15501, 6, BEIGE/BLCK, 1",M70001942,5,NOT ASSIGNED,223,CRC,FC,92,BEIGE/BLCK,6,1,1,LEATHER-F/W,3995
118-15501-003,2,15501,02L,LT,,,,,,"118-15501, 7, BEIGE/BLCK, 1",M70001942,5,NOT ASSIGNED,223,CRC,FC,92,BEIGE/BLCK,7,1,1,LEATHER-F/W,3995
118-15501-004,2,15501,02L,LT,,,,,,"118-15501, 8, BEIGE/BLCK, 1",M70001942,5,NOT ASSIGNED,223,CRC,FC,92,BEIGE/BLCK,8,1,1,LEATHER-F/W,3995
118-15501-005,2,15501,02L,LT,,,,,,"118-15501, 9, BEIGE/BLCK, 1",M70001942,5,NOT ASSIGNED,223,CRC,FC,92,BEIGE/BLCK,9,1,1,LEATHER-F/W,3995
118-15501-006,2,15501,0T9,LT,,,,,,"118-15501, 5, PINK, 1",M70001942,5,NOT ASSIGNED,223,CRC,P,24,PINK,5,1,1,LEATHER-F/W,3995
118-15501-007,2,15501,0T9,LT,,,,,,"118-15501, 6, PINK, 1",M70001942,5,NOT ASSIGNED,223,CRC,P,24,PINK,6,1,1,LEATHER-F/W,3995
118-15501-008,2,15501,0T9,LT,,,,,,"118-15501, 7, PINK, 1",M70001942,5,NOT ASSIGNED,223,CRC,P,24,PINK,7,1,1,LEATHER-F/W,3995
118-15501-009,2,15501,0T9,LT,,,,,,"118-15501, 8, PINK, 1",M70001942,5,NOT ASSIGNED,223,CRC,P,24,PINK,8,1,1,LEATHER-F/W,3995
118-15501-010,2,15501,0T9,LT,,,,,,"118-15501, 9, PINK, 1",M70001942,5,NOT ASSIGNED,223,CRC,P,24,PINK,9,1,1,LEATHER-F/W,3995
118-15501-011,2,15501,0T9,LT,,,,,,"118-15501, 5, BOTLE GREEN, 1",M70001942,5,NOT ASSIGNED,223,CRC,BH,98,BOTLE GREEN,5,1,1,LEATHER-F/W,3995
118-15501-012,2,15501,50M,LT,,,,,,"118-15501, 6, BOTLE GREEN, 1",M70001942,5,NOT ASSIGNED,223,CRC,BH,98,BOTLE GREEN,6,1,1,LEATHER-F/W,3995
118-15501-013,2,15501,50M,LT,,,,,,"118-15501, 7, BOTLE GREEN, 1",M70001942,5,NOT ASSIGNED,223,CRC,BH,98,BOTLE GREEN,7,1,1,LEATHER-F/W,3995
118-15501-014,2,15501,50M,LT,,,,,,"118-15501, 8, BOTLE GREEN, 1",M70001942,5,NOT ASSIGNED,223,CRC,BH,98,BOTLE GREEN,8,1,1,LEATHER-F/W,3995
118-15501-015,2,15501,50M,LT,,,,,,"118-15501, 9, BOTLE GREEN, 1",M70001942,5,NOT ASSIGNED,223,CRC,BH,98,BOTLE GREEN,9,1,1,LEATHER-F/W,3995
118-15581,1,15581,,GT,NULL,NA,NA,,,118-15581,M70001883,,,118,CRC,,0,,,,17,PLASTIC-BRANDED,0
118-15581-001,2,15581,260,GT,,,,,,"118-15581, 7, KHAKI, 1",M70001883,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,7,1,17,PLASTIC-BRANDED,2495
118-15581-002,2,15581,260,GT,,,,,,"118-15581, 8, KHAKI, 1",M70001883,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,8,1,17,PLASTIC-BRANDED,2495
118-15581-003,2,15581,260,GT,,,,,,"118-15581, 9, KHAKI, 1",M70001883,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,9,1,17,PLASTIC-BRANDED,2495
118-15581-004,2,15581,260,GT,,,,,,"118-15581, 10, KHAKI, 1",M70001883,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,10,1,17,PLASTIC-BRANDED,2495
118-15581-005,2,15581,260,GT,,,,,,"118-15581, 11, KHAKI, 1",M70001883,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,11,1,17,PLASTIC-BRANDED,2495
118-15581-006,2,15581,260,GT,,,,,,"118-15581, 12, KHAKI, 1",M70001883,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,12,1,17,PLASTIC-BRANDED,2495
118-15581-007,2,15581,260,GT,,,,,,"118-15581, 13, KHAKI, 1",M70001883,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,13,1,17,PLASTIC-BRANDED,2495
118-15690,1,15690,,US,NULL,NA,NA,,,118-15690,M70001957,,,118,CRC,,0,,,,17,PLASTIC-BRANDED,0
118-15690-001,2,15690,119,US,,,,,,"118-15690, 4, OFF/WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,OA,66,OFF/WHITE,4,1,17,PLASTIC-BRANDED,1995
118-15690-002,2,15690,119,US,,,,,,"118-15690, 5, OFF/WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,OA,66,OFF/WHITE,5,1,17,PLASTIC-BRANDED,1995
118-15690-003,2,15690,119,US,,,,,,"118-15690, 6, OFF/WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,OA,66,OFF/WHITE,6,1,17,PLASTIC-BRANDED,1995
118-15690-004,2,15690,119,US,,,,,,"118-15690, 7, OFF/WHITE, 1",M70001957,5,NOT ASSIGNED,118,CRC,OA,66,OFF/WHITE,7,1,17,PLASTIC-BRANDED,1995
118-15690-005,2,15690,410,US,,,,,,"118-15690, 4, BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,4,1,17,PLASTIC-BRANDED,1995
118-15690-006,2,15690,410,US,,,,,,"118-15690, 5, BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,5,1,17,PLASTIC-BRANDED,1995
118-15690-007,2,15690,410,US,,,,,,"118-15690, 6, BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,6,1,17,PLASTIC-BRANDED,1995
118-15690-008,2,15690,410,US,,,,,,"118-15690, 7, BLUE, 1",M70001957,5,NOT ASSIGNED,118,CRC,D,45,BLUE,7,1,17,PLASTIC-BRANDED,1995
118-15690-009,2,15690,6GF,US,,,,,,"118-15690, 6, PINK, 1",M70001957,5,NOT ASSIGNED,118,CRC,P,24,PINK,6,1,17,PLASTIC-BRANDED,1995
118-15690-010,2,15690,6GF,US,,,,,,"118-15690, 7, PINK, 1",M70001957,5,NOT ASSIGNED,118,CRC,P,24,PINK,7,1,17,PLASTIC-BRANDED,1995
118-15690-011,2,15690,6GF,US,,,,,,"118-15690, 8, PINK, 1",M70001957,5,NOT ASSIGNED,118,CRC,P,24,PINK,8,1,17,PLASTIC-BRANDED,1995
118-15690-012,2,15690,6GF,US,,,,,,"118-15690, 9, PINK, 1",M70001957,5,NOT ASSIGNED,118,CRC,P,24,PINK,9,1,17,PLASTIC-BRANDED,1995
118-15690-013,2,15690,119,US,,,,,,"118-15690, 4, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,4,1,17,PLASTIC-BRANDED,1995
118-15690-014,2,15690,119,US,,,,,,"118-15690, 5, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,5,1,17,PLASTIC-BRANDED,1995
118-15690-015,2,15690,119,US,,,,,,"118-15690, 6, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,6,1,17,PLASTIC-BRANDED,1995
118-15690-016,2,15690,119,US,,,,,,"118-15690, 7, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,7,1,17,PLASTIC-BRANDED,1995
118-15690-017,2,15690,119,US,,,,,,"118-15690, 8, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,8,1,17,PLASTIC-BRANDED,1995
118-15690-018,2,15690,119,US,,,,,,"118-15690, 9, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,9,1,17,PLASTIC-BRANDED,1995
118-15690-019,2,15690,119,US,,,,,,"118-15690, 10, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,10,1,17,PLASTIC-BRANDED,1995
118-15690-020,2,15690,119,US,,,,,,"118-15690, 11, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,11,1,17,PLASTIC-BRANDED,1995
118-15690-021,2,15690,119,US,,,,,,"118-15690, 12, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,12,1,17,PLASTIC-BRANDED,1995
118-15690-022,2,15690,119,US,,,,,,"118-15690, 13, WHITE/RED, 1",M70001957,5,NOT ASSIGNED,118,CRC,AE,93,WHITE/RED,13,1,17,PLASTIC-BRANDED,1995
118-15690-023,2,15690,410,US,,,,,,"118-15690, 4, BLUE/NAVY, 1",M70001957,5,NOT ASSIGNED,118,CRC,DN,17,BLUE/NAVY,4,1,17,PLASTIC-BRANDED,1995
