Store,Store_Name,Brand,Type,State,City,Manager_Name,Address1,Email,Tel,Mobile,Open_Date,Close_Date
PMQ,PMQ- PUNE,CROCS,MALL,MAHARASHTRA,PUNE,MR. SARFARAZ NAZIR SHAIKH,"UNIT NO. LP-27, LOWER GROUND FLR,PHEONIX MARKET CITY PUNE, NAGAR ROAD,VIMAN NAGAR, - 411014.  (MAHARASHTRA)",pmq@crocsindia.com,020 - 4930 0002.,8879814836,22/06/16,
POQ,POQ- PANVEL,CROCS,MALL,MAHARASHTRA,MUMBAI,MR.ALTAF ANWAR MEMON,"ORIAN MALL, SHOP NO. G-13, GROUND FLOOR, PLOT NO.311, MUMBAI PUNE HIGHWAY, NEAR PANVEL BUS DEPOT, PANVEL - 410 206.(MAHARASHTRA)",poq@crocsindia.com,022 39658351,8291292260,07/10/16,
PTQ,PTQ- PATIALA,CROCS,HIGH-STREET,PUNJAB,PATIALA,MR. NAVEEN KUMAR,"SHOP NO-4, BHUPINDERA ROAD, OPP. ORIEATIAL BANK, PATIALA  - 147 001 (PUNJAB)",ptq@crocsindia.com,0175-5002192,7977091159,30/12/17,
RIQ,RIQ -RAIPUR,CROCS,MALL,CHATTISGARH,RAIPUR,MR.MUKESH KUMAR,"SHOP.109, 1ST FLOOR, CITY CENTER MALL, PANDRI, RAIPUR -  492 001 (CHATTISGARH )",riq@crocsindia.com,0771 -  2582860,8878202302,04/07/16,
RMQ,RMQ- RAIPUR,CROCS,MALL,CHATTISGARH,RAIPUR,MR. RAKESH YADAV,"SHOP NO.9, GROUND FLOOR, MAGNGETO MALL, G.E. ROAD, LABHANDI, RAIPUR - 492 001 (CHATTISGARH)",rmq@crocsindia.com,0771 - 2259296,9137525693,25/08/16,
RNQ,RNQ- RANCHI,CROCS,MALL,JHARKHAND,RANCHI,MR. AJAY KUMAR,"GROUND FLOOR, SHOP NO.4&5, NUCLEUS MALL,MS PLOT NO.1690, HOLDING NO.587, CIRCULAR ROAD, RANCI - 834 001 (JHARKHAND)",rnq@crocsindia.com,0651 - 2563327,9372785195,09/04/17,
SNQ,SNQ-  NAVI  MUMBAI,CROCS,MALL,MAHARASHTRA,NAVI  MUMBAI,MS. LALITA  SACHIN SAWANT,"FIRST FLOOR, FF-69, GRAND CENTRAL MALL, PLOT NO.R-1, SECOR-40, SEAWOOD RAILWAY STATION, NERUL,NAVI MUMBAI- 400706 (MAHARASHATRA)",snq@crocsindia.com,022-39686213,9372506458,30/03/19,
SVQ,SVQ- SURAT,CROCS,MALL,GUJRAT,SURAT,MR. TUFEL USMAN MITHA,"FRIST FLOOR, SHOP NO.110, VR MALL, DUMAS ROAD, MUGDALLA, SURAT - 395 007 (GUJRAT)",svq@crocsindia.com,0261 6795230,8928404995,02/11/18,
TKQ,TKQ -THANE KORUM MALL,CROCS,MALL,MAHARASHTRA,THANE,MR. MOHD.IMRAN,"F-19, FRIST FLOOR, KORUM MALL, MANGAL PANDY ROAD, NEAR CADBURY JUNCTION, THANE (WEST) - 400 606.",tkq@crocsindia.com,022 - 25379957,9819462087,21/07/16,
TTQ,TTQ- TRIVANDRUM,CROCS,MALL,KERALA,TRIVANDRUM,MRS. DIVYA T.S,"SHOP NO.34, 1ST FLOOR, MALL OF TRAVANCORE, CHAKAI- ENCHAKKAL BYPASS ROAD, CHAKAI, TRIRUVANTHAPURAM - 695 024 (KERALA)",ttq@crocsindia.com,04712-776752,9137523826,23/03/18,
TVQ,TVQ -THANE VIVA MALL,CROCS,MALL,MAHARASHTRA,THANE,MR. MOHD. RAEES ANSARI,"SHOP NO. 29,FRIST FLOOR, VIVIANA MALL, EASTERN EXPRESS HIGHWAY, NEXT TO JUPITER  HOSPITAL, THANE (WEST)  - 400 606.",tvq@crocsindia.com,022 - 61701408,8879278721,14/08/15,
VIQ,VIQ- MUMBAI,CROCS,MALL,MAHARASHTRA,MUMBAI,MR. IDRIS KHAN,"UNIT NO. G-1, GROUND FLOOR, INORBIT MALL, SECTOR-30A, VASHI, NEW MUMBAI - 400 705 (MAHARASHTRA)",viq@crocsindia.com,022 62396336,8928627677,14/12/18,
VWQ,VWQ-VIJAYWADA,CROCS,HIGH-STREET,ANDRA PRADESH (Seemandhra),VIJAYWADA,MR.MOHAMEED  SADDAM KHAN,"SHOP NO. 39-68A, GROUND FLOOR,
M.G ROAD, N.T.S. NO.459,BLOCK NO.20, LABBIPET,REVENUE VARD NO. 10, VIJAYAWADA : 520010 ((AP/SIMANDRA) )",vwq@crocsindia.com,0866 - 6614329,088868 04042,04/08/17,
ZCQ,ZCQ- ZIRAKPUR,CROCS,MALL,PUNJAB,ZIRAKPUR,MR.AMARDEEP JAMWAL,"SHOP NO.FF-02, FRIST FLOOR, COSMOS MALL, AMBALA CHANDIGARH HIGHWAY, ZIKARPUR- 140 603 (PUNJAB)",zcq@crocsindia.com,8968018354,9137525740,07/05/18,
